date, pm25, pm10, o3, no2, so2, co
2022/3/23,45.00 ,47.00 , ,17, , 
2022/3/24,50.00 ,44.00 , ,13, , 
2022/3/25,36.00 ,42.00 , ,10, , 
2022/3/26,29.00 ,15.00 , ,4, , 
2022/3/27,18.00 ,31.00 , ,6, , 
2022/3/28,24.00 ,49.00 , ,15, , 
2022/3/29,28.00 ,53.00 , ,13, , 
2022/3/30,36.00 ,79.00 , ,21, , 
2022/3/31,39.00 ,50.00 , ,16, , 
2021/10/1,20.00 ,6.00 , ,9, , 
2021/10/2,18.00 , , ,6, , 
2021/10/8,27.00 ,8.00 , ,1, , 
2021/10/9,26.00 ,12.00 , ,5, , 
2021/10/10,37.00 ,17.00 , ,15, , 
2021/10/11,27.00 ,21.00 , ,17, , 
2021/10/12,24.00 ,17.00 , ,11, , 
2021/10/13,23.00 ,21.00 , ,13, , 
2021/10/14,23.00 ,17.00 , ,16, , 
2021/10/15,28.00 ,15.00 , ,10, , 
2021/10/16,23.00 ,22.00 , ,17, , 
2021/10/17,33.00 ,29.00 , ,24, , 
2021/10/18,42.00 ,12.00 , ,19, , 
2021/10/19,27.00 ,15.00 , ,12, , 
2021/10/20,22.00 ,41.00 , ,11, , 
2021/10/21,22.00 ,20.00 , ,14, , 
2021/10/22,28.00 ,13.00 , ,11, , 
2021/10/23,29.00 ,13.00 , ,6, , 
2021/10/24,27.00 ,11.00 , ,2, , 
2021/10/25,31.00 ,29.00 , ,15, , 
2021/10/26,34.00 ,36.00 , ,24, , 
2021/10/27,43.00 ,19.00 , ,7, , 
2021/10/28,35.00 ,16.00 , ,3, , 
2021/10/29,41.00 ,18.00 , ,7, , 
2021/10/30,37.00 ,13.00 , ,4, , 
2021/10/31,30.00 ,7.00 , ,6, , 
2021/11/1,16.00 ,30.00 , ,12, , 
2021/11/2,47.00 ,33.00 , ,15, , 
2021/11/3,42.00 ,40.00 , ,14, , 
2021/11/4,43.00 ,32.00 , ,10, , 
2021/11/5,36.00 ,44.00 , ,18, , 
2021/11/6,46.00 ,11.00 , ,7, , 
2021/11/7,20.00 ,25.00 , ,10, , 
2021/11/8,26.00 ,20.00 , ,9, , 
2021/11/9,24.00 ,34.00 , ,16, , 
2021/11/10,39.00 ,25.00 , ,9, , 
2021/11/11,26.00 ,62.00 , ,22, , 
2021/11/12,48.00 ,26.00 , ,9, , 
2021/11/13,29.00 ,31.00 , ,10, , 
2021/11/14,30.00 ,15.00 , ,12, , 
2021/11/15,24.00 ,7.00 , ,2, , 
2021/11/16,23.00 ,27.00 , ,11, , 
2021/11/17,36.00 ,41.00 , ,19, , 
2021/11/18,41.00 ,31.00 , ,12, , 
2021/11/19,29.00 ,37.00 , ,14, , 
2021/11/20,32.00 ,46.00 , ,20, , 
2021/11/21,39.00 ,50.00 , ,25, , 
2021/11/22,43.00 ,53.00 , ,26, , 
2021/11/23,56.00 ,27.00 , ,26, , 
2021/11/24,43.00 ,56.00 , ,27, , 
2021/11/25,37.00 ,55.00 , ,21, , 
2021/11/26,43.00 ,30.00 , ,8, , 
2021/11/27,25.00 ,33.00 , ,9, , 
2021/11/28,29.00 ,53.00 , ,22, , 
2021/11/29,43.00 ,20.00 , ,19, , 
2021/11/30,42.00 ,18.00 , ,26, , 
